#CHANNEL:CH1
#SIZE=4000
Index,Time(s),Volt(V)
467,1.864000e-02,-2.000000e-01
468,1.868000e-02,-2.400000e-01
469,1.872000e-02,-1.600000e-01
470,1.876000e-02,0.000000e+00
471,1.880000e-02,8.000000e-02
472,1.884000e-02,2.000000e-01
473,1.888000e-02,2.400000e-01
474,1.892000e-02,3.200000e-01
475,1.896000e-02,2.400000e-01
476,1.900000e-02,1.200000e-01
477,1.904000e-02,0.000000e+00
478,1.908000e-02,-2.000000e-01
479,1.912000e-02,-2.800000e-01
480,1.916000e-02,-4.000000e-01
481,1.920000e-02,-3.200000e-01
482,1.924000e-02,-2.000000e-01
483,1.928000e-02,4.000000e-02
484,1.932000e-02,2.800000e-01
485,1.936000e-02,4.400000e-01
486,1.940000e-02,5.600000e-01
487,1.944000e-02,5.200000e-01
488,1.948000e-02,3.600000e-01
489,1.952000e-02,8.000000e-02
490,1.956000e-02,-2.000000e-01
491,1.960000e-02,-5.200000e-01
492,1.964000e-02,-6.400000e-01
493,1.968000e-02,-6.400000e-01
494,1.972000e-02,-4.800000e-01
495,1.976000e-02,-2.000000e-01
496,1.980000e-02,2.000000e-01
497,1.984000e-02,4.800000e-01
498,1.988000e-02,7.200000e-01
499,1.992000e-02,7.600000e-01
500,1.996000e-02,5.600000e-01
501,2.000000e-02,2.800000e-01
502,2.004000e-02,-4.000000e-02
503,2.008000e-02,-3.600000e-01
504,2.012000e-02,-6.000000e-01
505,2.016000e-02,-7.600000e-01
506,2.020000e-02,-5.600000e-01
507,2.024000e-02,-3.200000e-01
508,2.028000e-02,-4.000000e-02
509,2.032000e-02,2.800000e-01
510,2.036000e-02,6.000000e-01
511,2.040000e-02,6.400000e-01
512,2.044000e-02,5.600000e-01
513,2.048000e-02,3.600000e-01
514,2.052000e-02,8.000000e-02
515,2.056000e-02,-1.600000e-01
516,2.060000e-02,-3.600000e-01
517,2.064000e-02,-4.400000e-01
518,2.068000e-02,-4.000000e-01
519,2.072000e-02,-3.200000e-01
520,2.076000e-02,-8.000000e-02
521,2.080000e-02,8.000000e-02
522,2.084000e-02,2.400000e-01
523,2.088000e-02,3.200000e-01
524,2.092000e-02,3.600000e-01
525,2.096000e-02,2.400000e-01
526,2.100000e-02,8.000000e-02
527,2.104000e-02,0.000000e+00
528,2.108000e-02,-1.600000e-01
529,2.112000e-02,-2.000000e-01
530,2.116000e-02,-2.400000e-01
531,2.120000e-02,-2.400000e-01
532,2.124000e-02,-1.600000e-01
533,2.128000e-02,0.000000e+00
534,2.132000e-02,1.200000e-01
535,2.136000e-02,2.800000e-01
536,2.140000e-02,2.800000e-01
537,2.144000e-02,2.800000e-01
538,2.148000e-02,1.600000e-01
539,2.152000e-02,8.000000e-02
540,2.156000e-02,-1.200000e-01
541,2.160000e-02,-2.400000e-01
542,2.164000e-02,-4.000000e-01
543,2.168000e-02,-3.600000e-01
544,2.172000e-02,-2.800000e-01
545,2.176000e-02,-1.200000e-01
546,2.180000e-02,8.000000e-02
547,2.184000e-02,3.600000e-01
548,2.188000e-02,4.800000e-01
549,2.192000e-02,5.600000e-01
550,2.196000e-02,4.400000e-01
551,2.200000e-02,2.400000e-01
552,2.204000e-02,-8.000000e-02
553,2.208000e-02,-3.200000e-01
554,2.212000e-02,-5.600000e-01
555,2.216000e-02,-6.400000e-01
556,2.220000e-02,-6.000000e-01
557,2.224000e-02,-3.200000e-01
558,2.228000e-02,4.000000e-02
559,2.232000e-02,3.200000e-01
560,2.236000e-02,6.000000e-01
561,2.240000e-02,7.600000e-01
562,2.244000e-02,7.200000e-01
563,2.248000e-02,4.800000e-01
564,2.252000e-02,1.200000e-01
565,2.256000e-02,-2.400000e-01
566,2.260000e-02,-5.600000e-01
567,2.264000e-02,-7.200000e-01
568,2.268000e-02,-6.400000e-01
569,2.272000e-02,-4.800000e-01
570,2.276000e-02,-1.600000e-01
571,2.280000e-02,1.600000e-01
572,2.284000e-02,4.400000e-01
573,2.288000e-02,6.000000e-01
574,2.292000e-02,6.400000e-01
575,2.296000e-02,4.800000e-01
576,2.300000e-02,2.000000e-01
577,2.304000e-02,-4.000000e-02
578,2.308000e-02,-2.400000e-01
579,2.312000e-02,-4.000000e-01
580,2.316000e-02,-4.400000e-01
581,2.320000e-02,-3.200000e-01
582,2.324000e-02,-2.000000e-01
583,2.328000e-02,0.000000e+00
584,2.332000e-02,1.600000e-01
585,2.336000e-02,3.200000e-01
586,2.340000e-02,4.000000e-01
587,2.344000e-02,2.400000e-01
588,2.348000e-02,1.600000e-01
589,2.352000e-02,8.000000e-02
590,2.356000e-02,-8.000000e-02
591,2.360000e-02,-2.000000e-01
592,2.364000e-02,-2.000000e-01
593,2.368000e-02,-2.400000e-01
